a438659,"aMichaelJ.Rothman",Author
a287141,"aShien-ChingHwang",Author
a116662,"aSt�phaneAyache",Author
a370250,"aJavierMart�nez-Viademonte",Author
a89376,"aRuiJiang",Author
a36606,"aDanConescu",Author
a116661,"aThanosAthanasiadis",Author
a19399,"aBorisKatz",Author
a19398,"aBarbaraStarr",Author
a5982,"aX.Zhao",Author
a5987,"aXiaoyanHong",Author
a5985,"aXinZheng",Author
a103549,"aY.V.RamanaReddy",Author
a82449,"aMarcoP�tke",Author
a82448,"aMartinPfeifle",Author
a83897,"aAndrzejJ.Glowinski",Author
a82444,"aFrankRuskey",Author
a260521,"aTsutomuFujiwara",Author
a260520,"aYasuhiroInazumi",Author
a260523,"aYokoKamidoi",Author
a260522,"aTakeshiFushimi",Author
a260525,"aAnatGafni",Author
a83895,"aT.J.King",Author
a260527,"aVladislavShkapenyuk",Author
a260526,"aTommyGagnes",Author
a260529,"aAlanGavioli",Author
a79378,"aSimonM.Lin",Author
a123856,"aJunKawai",Author
a453274,"aFranciscoFerreira",Author
a391271,"aJianxinLiu",Author
a235388,"aManuelLozano",Author
a88395,"aJamesWu",Author
a88391,"aChristianFluhr",Author
a301349,"aBenediktKratz",Author
a82997,"aOliverThomas",Author
a88392,"aMarcoWinckler",Author
a425865,"aJinHu",Author
a82998,"aOtmarAdam",Author
a88398,"aEdwardLank",Author
a46131,"aFeiXu",Author
a102810,"aZacharyN.J.Peterson",Author
a148708,"aEmanueleMarino",Author
a146549,"aJoos-HendrikB�se",Author
a97156,"aMarkLanthier",Author
a260299,"aBurcinBostan-Korpeoglu",Author
a260298,"aJ.Quinn",Author
a260293,"aY.L.Yan",Author
a260292,"aA.D.Smet",Author
a260291,"aA.Moon",Author
a260290,"aA.P.Manolas",Author
a260297,"aD.Neff",Author
a260296,"aJ.Ng",Author
a260295,"aR.L.Lapp",Author
a260294,"aG.L.Robinson",Author
a270,"aKurtMaly",Author
a271,"aMohammadZubair",Author
a19970,"aJohnStevenson",Author
a16709,"aJohnR.Anderson",Author
a19976,"aBernhardSch�lkopf",Author
a19974,"aKarstenM.Borgwardt",Author
a16704,"aPeterJ.Stuckey",Author
a19979,"aMin-LingZhang",Author
a130065,"aEdwardE.Cobb",Author
a88022,"aTimothyGriffin",Author
a130463,"aDavidGelernter",Author
a254815,"aChunhengWang",Author
a152439,"aBongkiMoon",Author
a17258,"aMakotoNagao",Author
a153773,"aJudyDjugash",Author
a17251,"aDavidJensen",Author
a17252,"aPeterE.Hart",Author
a17257,"aYujiMatsumoto",Author
a149845,"aAlessandroCilardo",Author
a10702,"aDayouLiu",Author
a9254,"aXiongWang",Author
a53730,"aAnandTripathi",Author
a9252,"aAoyingZhou",Author
a181343,"aKatyaFalkovych",Author
a9250,"aDunluPeng",Author
a9251,"aShengHuang",Author
a149147,"aYongXiaojia",Author
a149146,"aYongguangJiang",Author
a149145,"aGeraldoZimbrao",Author
a149144,"aLeonardoGuerreiroAzevedo",Author
a149143,"aRodrigoSalvadorMonteiro",Author
a46796,"aYuHuang",Author
a149141,"aOliverPo",Author
a149140,"aTranT.Hoai",Author
a569031,"aHarleyD.Dickinson",Author
a21617,"aVangalurS.Alagar",Author
a149149,"aPatriceD�hais",Author
a149148,"aIsabelleMougenot",Author
a181347,"aNobuoShuto",Author
a152437,"aSanaHamdoun",Author
a124353,"aBrendanMcNichols",Author
a69171,"aRandolphY.Wang",Author
a124351,"aS.T.S.Prasad",Author
a124350,"aC.R.Muthukrishnan",Author
a124357,"aMunishGandhi",Author
a124356,"aAshishSingh",Author
a45448,"aMaur�cioF.Magalh�es",Author
a69177,"aJaswinderPalSingh",Author
a124359,"aVijayalakshmiGopal",Author
a124358,"aClesioSaraivadosSantos",Author
a45441,"aDammindaAlahakoon",Author
a44797,"aSteveGoddard",Author
a46869,"aGustavoRossi",Author
a46868,"aAndresFortier",Author
a160258,"aHyunJoonKim",Author
a160259,"aShantiGomatam",Author
a160256,"aDennisLytle",Author
a160257,"aSeaveyAnthony",Author
a46863,"aKarinConinx",Author
a46862,"aKrisLuyten",Author
a160252,"aMichaelJ.Hayes",Author
a160253,"aKennethG.Hubbard",Author
a160250,"aMichaelMarich",Author
a160251,"aBenjaminL.Schooley",Author
a158718,"aDavideTaibi",Author
a158719,"aGaspareNovara",Author
a158710,"aG.Ciulla",Author
a158711,"aMarioAllegra",Author
a158712,"aV.Samperi",Author
a158713,"aGiovanniTodaro",Author
a158714,"aNabilOuddane",Author
a158715,"aSoumiaBenkrid",Author
a158716,"aZafarU.Singhera",Author
a158717,"aManuelGentile",Author
a90315,"aJohelMiteran",Author
a90316,"aJ�rgMeier",Author
a20158,"aJerryR.Hobbs",Author
a528823,"aPatriciaGalloway",Author
a479254,"aTheoA.Arentze",Author
a163506,"aFarhiMarir",Author
a453698,"aSicongShou",Author
a112959,"aAar�nPancardo-Rodr�guez",Author
a112950,"aChuan-JieLin",Author
a112951,"aThiagoAlexandreSalgueiroPardo",Author
a112952,"aNamheeKwon",Author
a112954,"aHyunAhLee",Author
a112955,"aGil-ChangKim",Author
a112956,"aXiaoguangLi",Author
a436244,"aCarolinePaxson",Author
a256296,"aTonjeStrommenSteigedal",Author
a256295,"aRuneS�tre",Author
a237529,"aSiewPeiHwa",Author
a237528,"aNorhayatiAbdulMukti",Author
a237521,"aHywelBraddick",Author
a13053,"aHaoZhang",Author
a237523,"aBrianRobertson",Author
a237522,"aInnesMartin",Author
a237525,"aGregMacPherson",Author
a237524,"aCraigWalker",Author
a13054,"aJuhnyoungLee",Author
a13055,"aPieterW.Adriaans",Author
a54170,"aNormanMatloff",Author
a54172,"aXiaoyingBai",Author
a285150,"aMeiLi",Author
a260621,"aNamHuyn",Author
a395237,"aW.HomerCarlisle",Author
a429735,"aXuningWang",Author
a62089,"aXiaoqingLan",Author
a62088,"aJingjingSong",Author
a429734,"aGorettiSanmart�n",Author
a62085,"aZhenxingChen",Author
a62084,"aNianYan",Author
a62087,"aJiguoYu",Author
a62086,"aWenjunLiu",Author
a62081,"aYipengJi",Author
a62080,"aXingYang",Author
a62083,"aRongLiu",Author
a62082,"aMoSha",Author
a156657,"aDoloresMar�aLlid�",Author
a133274,"aJehoshuaBruck",Author
a156655,"aSalvadorGarc�a",Author
a156654,"aHuanzhangLiu",Author
a156653,"aShilpeshKatragadda",Author
a156652,"aTaiT.Do",Author
a156651,"aFuyuLiu",Author
a156650,"aYongfengChen",Author
a20252,"aAchilleFokoue",Author
a20253,"aAdityaKalyanpur",Author
a20250,"aYannLeCun",Author
a20256,"aKavithaSrinivas",Author
a156659,"aKok-HuatLee",Author
a20255,"aEdithSchonberg",Author
a453550,"aToshihiroYamaguchi",Author
